,meaning,KEY-MEANING
132,Hania,PERSON
133,Emil,PERSON
134,Krzyś ,PERSON
135,Filip,PERSON
136,Burza,STORM
137,Deszcz,RAIN
138,Zęby,TEETH
139,Ciocia,AUNT
140,Cycuś,BREAST
141,Nos,NOSE
142,Oko,EYE
143,Stopa,FEET
144,Spanie ,SLEEP
145,Kąpiel ,BATH
146,Tola,PERSON
147,Tosia,PERSON
148,Adam,PERSON
149,Gra,GAME
150,"Taniec ,muzyka",DANCE
151,"Taniec ,muzyka",MUSIC
152,Zupa,SOUP
153,Kawa,COFFEE
154,Żaba,FROG
155,Jedzenie,FOOD
156,Samolot,PLANE
157,Pan,MAN
158,Dziecko ,BABY
159,Zegar ,CLOCK
160,Kupa,POOP
161,Basen,SWIMMING-POOL
162,Zjeżdżalnia ,SLIDE
163,Banan,BANANA
164,Kapcie,SLIPPERS
165,Pucio,CHARACTER
166,Misia,PERSON
167,Bobo,BABY
168,"Koparka ,kopać ",DIG
169,"Koparka ,kopać ",EXCAVATOR
170,Przytulanie,HUG
171,Maliny,RASPBERRY
172,"Chodzenie po schodach ,skakanie ",CLIMB-STAIRS
173,"Chodzenie po schodach ,skakanie ",JUMP
174,Piłka ,BALL
175,Kapelusz ,HAT
176,Bułka ,BUN
177,Chleb,BREAD
178,Tutaj,HERE
179,Tam,THERE
180,Garaż ,GARAGE
181,Lalka,DOLL
182,Peppa,CHARACTER
183,Rubi,
184,Rozmawiać przez telefon ,PHONECALL
185,Nie ma,GONE
186,Pada,RAIN
187,Tuliś,TOY
188,Pizza,PIZZA
189,Pająk,SPIDER
190,Tuptać,STOMPING
191,"Babka z piasku, piaskownica ",SANDCASTLE
192,"Babka z piasku, piaskownica ",SANDPIT
193,"Związane włosy, gumka do włosów ",HAIRBAND
194,"Związane włosy, gumka do włosów ",PONYTAIL
195,Tatuś ,DAD
196,Jadzia Pętelka,CHARACTER
197,Lis,FOX
198,Kaczka,DUCK
199,Kra kra- ddźwięk wrony ,CROW
200,Koń ,HORSE
201,Kwiatki,FLOWER
202,Lampa,LAMP
203,Mama,MOM
204,Tata,DAD
205,Basia,PERSON
206,Siku,PEE
207,"Apsik, kichanie",SNEEZE
208,Gorące ,HOT
209,Cześć ,HI
210,Ignaś,PERSON
211,Gęś,GOOSE
212,Waż ,SNAKE
213,Buzia,FACE
214,Język ,HEDGEHOG
215,Motyl ,BUTTERFLY
216,"Buba -  siniak, zranienie",BRUISE
217,"Buba -  siniak, zranienie",INJURY
218,"Upadek, ale tez bębenek",DRUM
219,"Upadek, ale tez bębenek",BAM
220,Balon,BALLOON
221,Jajecznica ,SCRAMBLED-EGGS
222,Staś,PERSON
223,Mama,MOM
224,Tata,DAD
225,Jedzenie ,FOOD
226,Kot,CAT
227,Kici kici ,CAT
228,Pić/picie,DRINK
229,Nie,NO
230,Jeść ,EAT
231,Kot,CAT
232,Jeść ,EAT
233,Pies,DOG
234,Tak,YES
235,Małpka ,MONKEY
236,Auto,CAR
237,Kura,HEN
238,Miau,CAT
239,Muuu krowa ,COW
240,Hopsi/spać ,HOP
241,Kakao,COCOA
242,Kura,HEN
243,Cocomelon,RHYME
244,Kra kra wrona,CROW
245,Owca,SHEEP
246,Wow,WOW
247,Wiertarka,DRILL
248,Suszarka,DRYER
249,Kto to,WHO-IS-THIS
250,Kukuryku/kogut ,COCK
251,Koń ,HORSE
252,Boli ,HURTS
253,Babcia ,GRANDMA
254,Dziadek ,GRANDPA
255,Dziób dziób szczypanie,BEAK
256,Halo,HELLO
257,Auto,CAR
258,Tu,HERE
259,To,THIS
260,Pa/pożegnanie,BYE
261,Ciocia,AUNT
262,Buju,SWING
263,Jajo,EGG
264,Buju,SWING
265,Straszenie,SCARE
266,Nie ma,GONE
267,Tam,THERE
268,Heniu,PERSON
269,Kot,CAT
270,Spać,SLEEP
271,Mama,MOM
272,Mama,MOM
273,Tata,DAD
274,Tata,DAD
275,Pępek,NAVEL
276,Ty/ja,ME
277,Ty/ja,YOU
278,Straż/karetka,AMBULANCE
279,Straż/karetka,FIRE-BRIGADE
280,Moje,MY
281,Babcia,GRANDMA
282,śpi,SLEEPING
283,Cicho,QUIET
284,Cześć,HI
285,Myć,WASHING
286,Czekoladka/kinderek,CHOCOLATE
287,Jest,TO-BE
288,Kółko,CIRCLE
289,Cicho,QUIET
290,Padać o deszczu,RAIN
291,Panda pluszak,PANDA
292,Trąbić o samochodzie,HONK
293,Zosia,PERSON
294,Lala,DOLL
295,Przewrócić się,BAM
296,Mysz,MOUSE
297,Pan,MAN
298,Pociąg,TRAIN
299,Galaretka ,JELLY
300,Kalosze,WELLINGTONS
301,Plusk,SPLASH
302,Mam,HAVE
303,Żaba / Żabka ,FROG
304,Czapka ,CAP
305,Siusiu,PEE
306,Pszczółka ,BEE
307,Sowa,OWL
308,Miś ,TEDDY-BEAR
309,Pa,BYE
310,Pić ,DRINK
311,Ciuchcia ,CHOO-CHOO
312,Kalosze,WELLINGTONS
313,Asia ,PERSON
314,Ciocia,AUNT
315,Masz,HAVE
316,Kupka,POOP
317,Zosia,PERSON
318,Kolorować ,COLOURING
319,Balon ,BALLOON
320,Kamil,PERSON
321,Dzieci,CHILDREN
322,Bing,CHARACTER
323,Burza,STORM
324,Duża ,BIG
325,Picie,DRINK
326,Pampers,DIAPER
327,Bajka,TALE
328,Brawo ,BRAVO
329,Strój kąpielowy ,SWIMSUIT
330,Dwa,TWO
331,Trzy,THREE
332,Tyle,THIS-MUCH
333,Oko,EYE
334,Stop,STOP
335,Stół ,TABLE
336,Babcia,GRANDMA
337,Maja,PERSON
338,Alicja,PERSON
339,Arsen,ARSENIC
340,Szkoła/przedszkole,KINDERGARTEN
341,Szkoła/przedszkole,SCHOOL
342,Okej,OK
343,Skórki ,PEEL
344,Traktor,TRACTOR
345,Piersi,BREAST
346,Gęś ,GOOSE
347,Pupa,BOTTOM
348,Gorące ,HOT
349,Oko,EYE
350,Idzie,GO
351,Wilk,WOLF
352,Boso,BAREFOOT
353,Stoi,STAND
354,Parasol,UMBRELLA
355,Króliś tuliś,CHARACTER
356,Poducha,PILLOW
357,Reklama,ADVERTISEMENT
358,Dom,HOME
359,Jem,EAT
360,Tobiasz,PERSON
361,Pierś ,BREAST
362,Mucha ,FLY
363,Patrz,LOOK
364,Sula,
365,Proszę ,PLEASE
366,Szybko,FAST
367,Teraz ,NOW
368,Wysoko,HIGH
369,Raz,ONE
370,Dzisiaj,TODAY
371,śpi ,SLEEPING
372,Blanka,PERSON
373,Stoi,STAND
374,Stało się ,HAPPEN
375,Daj,GIVE
376,Dziadzio,GRANDPA
377,Pożegnanie ,BYE
378,Tak,YES
379,Tata,DAD
380,"Zaimek wskazujący ""to""",THIS
381,Bam- rzucanie/ kopanie,BAM
382,Hop! (Skakanie),HOP
383,Puk puk (pukanie do drzwi),KNOCK-KNOCK
384,Husiu ( huśtać się),SWING
385,Traktor,TRACTOR
386,Pojazd/ jedzie,DRIVE
387,Pojazd/ jedzie,VEHICLE
388,Sowa,OWL
389,Siusiak,PENIS
390,Tutaj,HERE
391,"Ziewanie, sen",SLEEP
392,"Ziewanie, sen",YAWNING
393,Wiewiórka,SQUIRREL
394,Pies,DOG
395,Pociąg,TRAIN
396,Samolot/latać,FLYING
397,Samolot/latać,PLANE
398,Mleko ,MILK
399,"Nie, zaprzeczenie",NO
400,Apsik / kichanie,SNEEZE
401,Mama,MOM
402,Lalka,DOLL
403,Coś się stało,EXCLAMATION
404,Lew,LION
405,"Piersi, karmienie piersią",BREAST
406,"Piersi, karmienie piersią",BREASTFEEDING
407,Nie ma,GONE
408,Gazy/ kupka,FART
409,Gazy/ kupka,POOP
410,"Pojazd na sygnale (karetka, wóz strażacki, radiowóz)",AMBULANCE
411,"Pojazd na sygnale (karetka, wóz strażacki, radiowóz)",FIRE-BRIGADE
412,"Pojazd na sygnale (karetka, wóz strażacki, radiowóz)",POLICE
413,Babcia,GRANDMA
414,Jeść / jedzenie,EAT
415,Jeść / jedzenie,FOOD
416,Mysz,MOUSE
417,Słoń,ELEPHANT
418,Wilk,WOLF
419,Krowa,COW
420,Halo/ dzwonić,HELLO
421,Smaczne / jeść,DELICIOUS
422,Smaczne / jeść,EAT
423,Maciek (własne imię),SELF
424,Imię mamy,MOM
425,Imię taty,DAD
426,"Dziecko, niemowlę",BABY
427,Gra na instrumencie,PLAYING-MUSIC
428,Kakao,COCOA
429,Helikopter,HELICOPTER
430,Przycisk / ddźwięk przyciskania klawiszy,BUTTON
431,Owca,SHEEP
432,Kask,HELMET
433,Brr (zimny),COLD
434,Pan,MAN
435,Kra kra/ wrona,CROW
436,Dom,HOME
437,Ddźwięk zapinania napek,CLICK
438,Kura,HEN
439,"Dziecko, niemowlę",BABY
440,Kot,CAT
441,"Ania, imię",PERSON
442,"Adam, imię ",PERSON
443,"Na górze, wchodzić, wysoko",UP
444,Pupa,BOTTOM
445,Gol,GOAL
446,Goły,NAKED
447,Jajka,EGG
448,Album,ALBUM
449,Banan,BANANA
450,Blender/ blendować,BLENDER
451,U góry/ na górze,UP
452,Kot,CAT
453,Rower,BIKE
454,Balon,BALLOON
455,Galaretka,JELLY
456,Kaczka (kwa kwa),DUCK
457,Oko,EYE
458,Rolo (imię lemura),CHARACTER
459,Małpa,MONKEY
460,Imię węża,PET
461,Imię jelonka z bajki,CHARACTER
462,Żyrafa,GIRAFFE
463,Komputer (laptop),COMPUTER
464,Krzyś,PERSON
465,Staś,PERSON
466,Antek,NAME-NA
467,Mały,SMALL
468,Trąbka,TRUMPET
469,Tędy,THIS-WAY
470,Niedługo,SOON
471,Bari,
472,Cześć,HI
473,Kompot,COMPOTE
474,Gra,GAME
475,Baterie,BATTERY
476,Koza,GOAT
477,Prowadzić samochód ,DRIVE
478,Imię babci,GRANDMA
479,świnka,PIG
480,Za blokami,BLOCK-OF-FLATS
481,Koń,HORSE
482,Duży,BIG
483,Bing (imię postaci z bajki),CHARACTER
484,śpi,SLEEPING
485,Baza,BASE
486,Zoo,ZOO
487,Okulary,GLASSES
488,Dwa,TWO
489,Koparka,EXCAVATOR
490,Zebra,ZEBRA
491,Papuga (ara),PARROT
492,Biegać,RUNNING
493,Dziadzio,GRANDPA
494,Pojazd/ jedzie,DRIVE
495,Pojazd/ jedzie,VEHICLE
496,Siusiak,PENIS
497,Balon,BALLOON
498,Kot,CAT
499,Halo/ dzwonić,HELLO
500,Husiu ( huśtać się),SWING
501,Tak,YES
502,Daj,GIVE
503,Apsik / kichanie,SNEEZE
504,Przycisk / ddźwięk przyciskania klawiszy,BUTTON
505,Mus,MOUSSE
506,I'm ready (tytuł piosenki),RHYME
507,W pracy,WORK
508,Trzy,THREE
509,Dżip,CAR
510,Ddźwig,CRANE
511,Pępek,NAVEL
512,Chory,SICK
513,Boli,HURTS
514,Kawa,COFFEE
515,Jogurt,YOGHURT
516,Dym (para),SMOKE
517,Korek uliczny,TRAFFIC-JAM
518,Zjeżdżać na zjeżdżalni,SLIDE
519,Żaba,FROG
520,Krab,CRAB
521,Maciuś (własne imię),SELF
522,Kasza,GROATS
523,Kurier,COURIER
524,Kocham,LOVE
525,Piti (imię kota),PET
526,Plac zabaw,PLAYGROUND
527,Lampa,LAMP
528,Aparat,CAMERA
529,Tir,TRUCK
530,"Bus, autobus",BUS
531,Imię chłopca,PERSON
532,Paella,PAELLA
533,Taras,TERRACE
534,Palec,FINGER
535,Flop (postać z bajki),CHARACTER
536,Stopa,FEET
537,Skarpety,SOCK
538,Coca cola,COCA-COLA
539,Koło,CIRCLE
540,Biegać,RUNNING
541,Stop,STOP
542,Dobi (imię dziecka),SELF
543,"Lubisz, lubię",LIKE
544,Żłobek (żłobka),NURSERY
545,Mamusia,MOM
546,Tatuś,DAD
547,Wysoko,HIGH
548,Taksówka,TAXI
549,Schody,STAIRS
550,Charlie (imię postaci z bajki),CHARACTER
551,Chase (imię postaci z bajki),CHARACTER
552,Karetka pogotowia,AMBULANCE
553,Imię babci,GRANDMA
554,Koko (imię postaci z bajki),CHARACTER
555,Lody,ICE-CREAM
556,Policja,POLICE
557,Pando (imię postaci z bajki),CHARACTER
558,śnieg,SNOW
559,Pada śnieg,RAIN
560,Imię dziadka,GRANDPA
561,Imię dziadka (Józiu),GRANDPA
562,"Cofać, jechać do tyłu",BACKING
563,Taras,TERRACE
564,Buty,SHOES
565,śmieciarka,GARBAGE-TRUCK
566,Jeszcze,MORE
567,Bus (samochód dostawczy),VAN
568,Autobus,BUS
569,Obok,NEAR
570,Lis,FOX
571,Buty,SHOES
572,Motor,MOTORCYCLE
573,Kredki,CRAYONS
574,Leki (lekarstwa),MEDICINE
575,Pada deszcz,RAIN
576,Czekolada,CHOCOLATE
577,Makaron,PASTA
578,Budyń,PUDDING
579,Madzia (imię cioci),AUNT
580,Szalik,SCARF
581,Zęby,TEETH
582,Głowa,HEAD
583,Jeszcze raz,MORE
584,Chleb,BREAD
585,Rury (słomki do picia),STRAW
586,[Kicia] Kocia (imię postaci z bajki),CHARACTER
587,Bajki,TALE
588,Palec,FINGER
589,Plecak,BAGPACK
590,Kapelusz,HAT
591,Drabina,LADDER
592,Nos,NOSE
593,Buzia (usta),MOUTH
594,Uszy,EARS
595,Teresa (imię dziecka),PERSON
596,Brzuch,BELLY
597,Straż [pożarna],FIRE-BRIGADE
598,Woda,WATER
599,Klucz,KEY
600,Zęby,TEETH
601,"Pali [się], pożar",FIRE
602,Krew,BLOOD
603,Jadę/jedziesz,GO
604,Wsiada,GET-IN
605,Tort,CAKE
606,Zupa,SOUP
607,Ziemniaki,POTATO
608,Jedzie,DRIVE
609,Ser,CHEESE
610,Gorące,HOT
611,Cztery,FOUR
612,Pięć,FIVE
613,Koniec,END 
614,Brawo,BRAVO
615,Park,PARK
616,Brawo,BRAVO
617,Chłopiec,BOY
618,Miasto,TOWN
619,Straż jedzie do pożaru ,FIRE-BRIGADE
620,Kręci się,SPIN
621,Stoi,STAND
622,Siedzi,SIT
623,Samolot,PLANE
624,"Do Aten, Ateny",ATHENS
625,Ciocia,AUNT
626,Garaż,GARAGE
627,Kołdra,DUVET
628,Laweta,CAR-CARRIER
629,Londyn,LONDON
630,Olaf (imię dziecka),SELF
631,Gitara,GUITAR
632,Park,PARK
633,Kurtka,JACKET
634,"Kapelusz, czapka",HAT
635,Woda,WATER
636,Ida (imię dziecka),SELF
637,Chłopiec,BOY
638,Dziewczynka,GIRL
639,Piana,FOAM
640,Sam,BY-MYSELF
641,Biedronka,LADYBIRD
642,Zegar,CLOCK
643,Noga,LEG
644,Sowa,OWL
645,Szpital,HOSPITAL
646,Ręka,HAND
647,Daleko,FAR
648,Pan strażak,FIRE-FIGHTER
649,Czapka,CAP
650,Kręci się,SPIN
651,Baby shark/ rekin,RHYME
652,Betoniarka,CEMENT-MIXER
653,Ogromny,HUGE
654,Doktor,DOCTOR
655,Ogród,GARDEN
656,Idziemy,GO
657,Kosi (czas. Kosić),MOW
658,Sok,JUICE
659,Talerzyk,PLATE
660,Pieluszka,DIAPER
661,Mój (różne formy),MY
662,Zielony,GREEN
663,Wstajemy,GET-UP
664,Płakać,CRY
665,Obrazek,PICTURE
666,"Podmuchaj, dmuchać",BLOWING
667,Plasterek,BAND-AID
668,Parasol,UMBRELLA
669,Oglądać,WATCH
670,Szaleją,CRAZY
671,Gorące,HOT
672,Dalej,FURTHER
673,Dziękuję ,THANK-YOU
674,Ateny,ATHENS
675,Kąpiel (do kąpieli),BATH
676,Kurczaczek,CHICKEN
677,Wypadek,ACCIDENT
678,Jutro,TOMORROW
679,Komar,MOSQUITO
680,Zapomniałem,FORGET
681,Ukrywałem się,HIDE
682,Pieluszka,DIAPER
683,Kuchnia,KITCHEN
684,Torba,BAG
685,Szynka,HAM
686,Krem,CREAM
687,Szukam (i inne formy),SEARCHING
688,Ja,SELF
689,Zagniatać ciasto ,KNEAD
690,Kąpiel,BATH
691,Pazurki (paznokcie),NAILS
692,Odpoczywam (i inne formy),RELAX
693,Leciałem (i inne formy),FLYING
694,Motocykl,MOTORCYCLE
695,Czytamy,READ
696,Odcinek,EPISODE
697,Flaga,FLAG
698,Mucha,FLY
699,Odcinek,EPISODE
700,Książka,BOOK
701,Bawić się (i inne formy),PLAY
702,Spadłem,FALLING
703,Kocham (i inne formy),LOVE
704,Gotować (i inne formy),COOK
705,Piknik,PICNIC
706,Spadło,BAM
707,"Spadło, wylało się ",BAM
708,Mama,MOM
709,Tata,DAD
710,"Tam cos jest, tam ide",THERE
711,To chce ,THIS
712,"Auto, jechać auten",CAR
713,"Auto, jechać auten",DRIVE
714,Nie ma,GONE
715,Kotek,CAT
716,Jesc,EAT
717,Smaczne,DELICIOUS
718,Coś się stało ,EXCLAMATION
719,Akuku,PEEKABOO
720,Kura,HEN
721,Tak,YES
722,Co to,WHAT-IS-THIS
723,Szymek,PERSON
724,Babcia,GRANDMA
725,Koło,CIRCLE
726,Puk puk,KNOCK-KNOCK
727,Miś,TEDDY-BEAR
728,Kupa,POOP
729,Siusiu,PEE
730,Daj,GIVE
731,Dziura,HOLE
732,Dziadzio,GRANDPA
733,Franek,PERSON
734,Ciocia,AUNT
735,Pukanie ,KNOCK-KNOCK
736,Drzwi,DOOR
737,Szafa,WARDROBE
738,Głowa,HEAD
739,Oko,EYE
740,Pupa,BOTTOM
741,Drzewo,TREE
742,Krowa,COW
743,Baran,LAMB
744,Koza,GOAT
745,Koń,HORSE
746,Kotek,CAT
747,Piesek,DOG
748,Auto,CAR
749,Pieniądze ,MONEY
750,Myszka,MOUSE
751,Sowa,OWL
752,Pszczola,BEE
753,Małe ,SMALL
754,Duże ,BIG
755,Goły,NAKED
756,Dżem,JAM
757,Trzy,THREE
758,Slodkie,SWEET
759,Pociag,TRAIN
760,Traktor,TRACTOR
761,Gra,GAME
762,Bęben ,DRUM
763,Choddź ,COME
764,Działa,WORKING
765,Dzwonek,BELL
766,Dziura,HOLE
767,Pępek,NAVEL
768,Już,NOW
769,Zuzia imię,PERSON
770,Tata,DAD
771,Baba,GRANDMA
772,Dziadek,GRANDPA
773,Dziecko,BABY
774,Pan,MAN
775,Pani,LADY
776,Noga,LEG
777,Glowa,HEAD
778,Żółw,TURTLE
779,Fanta,DRINK
780,Krowa,COW
781,Pies,DOG
782,Nid,NO
783,Piosenka ,SONG
784,Pić,DRINK
785,Jeść,EAT
786,Koza,GOAT
787,Motor,MOTORCYCLE
788,Szyszka,CONE
789,Gwiazda,STAR
790,Michał,PERSON
791,Miś,TEDDY-BEAR
792,Hulajnoga,SCOOTER
793,Autobus,BUS
794,Tir,TRUCK
795,Piosenka ,SONG
796,Ssanie piersi,BREASTFEEDING
797,Wujek,UNCLE
798,Ciocia,AUNT
799,Jajko,EGG
800,Banan,BANANA
801,Kiwi,KIWI
802,Woda/picie,DRINK
803,Woda/picie,WATER
804,Mysz,MOUSE
805,Ała,HURTS
806,Boli,HURTS
807,Bóg,GOD
808,Amen,AMEN
809,Rower,BIKE
810,Wyjść ,GO-OUT
811,Spać/spi,SLEEP
812,Nos,NOSE
813,Pępek,NAVEL
814,Brzuch,BELLY
815,Mama,MOM
816,Jest,TO-BE
817,Kiwi,KIWI
818,Wychodzenie np. Z wózka,GO-OUT
819,Chodzić,WALKING
820,Liczba 2,TWO
821,3,THREE
822,Nie wolno/ brzydko,MUSTNT
823,świnka pepa,CHARACTER
824,Dwie rzeczy,TWO
825,Sprzątam,CLEANING
826,Wyjść,GO-OUT
827,Spaść,BAM
828,Nie chce,DONT-WANT
829,Imię michał,PERSON
830,Kolor/ biały/ odpowieddź na pytanie jaki/jaka jest dana rzecz?,WHITE
831,Wstań,GET-UP
832,Kiciuś,CAT
833,Spać,SLEEP
834,Koparka,EXCAVATOR
835,Hop - skakać,HOP
836,Coś obrzydliwego,DISGUSTNG
837,Robić siku,PEE
838,Imię Ada,PERSON
839,Jak robi nieddźwieddź,BEAR
840,Ananas,PINEAPPLE
841,Jak coś upadnie,BAM
842,Wystraszyć kogoś oraz wystraszyć się,SCARED
843,Babcia,GRANDMA
844,Babka piasku,SANDCASTLE
845,Gdy coś upadnie,BAM
846,Jak coś się przewróci oraz granie na bębenku,BAM
847,Banan,BANANA
848,Brawo,BRAVO
849,Buba z książki,CHARACTER
850,Buty,SHOES
851,Jak robi auto,CAR
852,Bób,BEAN
853,Ciocia,AUNT
854,Co to,WHAT-IS-THIS
855,Pierś,BREAST
856,Daj,GIVE
857,Dzik,BOAR
858,Dziadek,GRANDPA
859,Gruchanie gołębia,PIDGEON
860,Lalka,DOLL
861,Mama,MOM
862,"Smaczne, jeść, jedzenie",DELICIOUS
863,"Smaczne, jeść, jedzenie",EAT
864,"Smaczne, jeść, jedzenie",FOOD
865,"Smaczne, jeść, jedzenie",DELICIOUS
866,"Smaczne, jeść, jedzenie",EAT
867,"Smaczne, jeść, jedzenie",FOOD
868,Kaczka,DUCK
869,Dziadek,GRANDPA
870,Nie,NO
871,Nie ma,GONE
872,Nie wolno,MUSTNT
873,Lampa,LAMP
874,Pępek,NAVEL
875,Tak,YES
876,Tata,DAD
877,Jak robi małpka,MONKEY
878,Jak robi tygrys,TIGER
879,Szczekanie psa,DOG
880,Dziecko,BABY
881,Brat ,SIBLING
882,Dziecko,BABY
883,Miauczenie kota,CAT
884,Jak robi kot,CAT
885,Jak robi kot,CAT
886,Ddźwięk samolotu,PLANE
887,Muczenie krowy,COW
888,Nie ma,GONE
889,Pa pa,BYE
890,Dobranoc,GOOD-NIGHT
891,Jak płacze dziecko,CRY
892,Jak robi koza,GOAT
893,Rura,PIPE
894,Imię mamy ,MOM
895,Żaba,FROG
896,Piłka,BALL
897,Jak robi koza,GOAT
898,Cicho,QUIET
899,Iza sąsiadka,PERSON
900,Ala babcia,GRANDMA
901,Dzieci,CHILDREN
902,Tam,THERE
903,Ddźwięk klaksonu,HORN
904,Ciuch ciuch - ddźwięk pociągu,CHOO-CHOO
905,Chcę,WANT
906,Chcę,WANT
907,Dzięcioł,WOODPECKER
908,Choddź,COME
909,Tam,THERE
910,Volvo ,CAR
911,Choddźcie,COME
912,Mam,HAVE
913,Pan,MAN
914,Dobre smaczne,GOOD
915,"Ddźwięk urządzeń pralki, blendera",BLENDER
916,"Ddźwięk urządzeń pralki, blendera",WASHING-MACHINE
917,Ja,SELF
918,Sio do michy,GO-AWAY
919,Owady,INSECT
920,Trąbienie słonia,ELEPHANT
921,Cześć,HI
922,Owca,SHEEP
923,Patataj,HORSE
924,Imię kota niunio,PET
925,Hej,HI
926,Joko imię kota,PET
927,A psik kichanie,SNEEZE
928,Tu,HERE
929,Grzyby,MUSHROOM
930,Telefon komórkowy,PHONE
931,Jabłko,APPLE
932,Akuku,PEEKABOO
933,Oko,EYE
934,Nos,NOSE
935,"Picie, woda",DRINK
936,Jabłko,APPLE
937,Dam,GIVE
938,Ucho,EAR
939,Pizza,PIZZA
940,Borówka,BLUEBERRY
941,Żaba,FROG
942,Straż pożarna,FIRE-BRIGADE
943,Odgłos osiołka,DONKEY
944,Poproszę,PLEASE
945,śpi,SLEEPING
946,Byk,BULL
947,Ania imię pająka,PET
948,Kanapka,SANDWICH
949,Żaba,FROG
950,Plum - pluskanie ,SPLASH
951,Wstań,GET-UP
952,Wujek,UNCLE
953,Ciastko,COOKIE
954,Ała boli,HURTS
955,Nóż,KNIFE
956,Obcinać włosy/fryzjer,CUT
957,Tramwaj,TRAM
958,Chłopiec,BOY
959,Sanki,SLEIGH
960,Kółko,CIRCLE
961,Nurkować,DIVE
962,Rybka pływa plum,FISH
963,Wujek,UNCLE
964,Dynia,PUMPKIN
965,Kto to,WHO-IS-THIS
966,Bóbr,BEAVER
967,Wiewiórka basia,SQUIRREL
968,Cześć,HI
969,Wrona,CROW
970,Patrz,LOOK
971,Gabryś,PERSON
972,Laura,PERSON
973,Mops,PUG
974,Ogórek,CUCUMBER
975,Ogród,GARDEN
976,Do domu,HOME
977,Wózek,STROLLER
978,Strażak,FIRE-FIGHTER
979,Książka,BOOK
980,Groszek,PEAS
981,Czarny,BLACK
982,Mama,MOM
983,Pupa,BOTTOM
984,Jak robi kura,HEN
